question_id,type_id,titles,options,Knowledge_id
0,6,为了迎接体育中考 很多男生加强了引体向上的训练 如果想粗 测量某位同学引体向上运动的功率时 下列物理量不需要测量的是,小明的质量 单杠的高度每次身体上升的高度 做引体向上的时间,29
1,6,弦乐器在使用一段时间后需请调音师进行调音 调音师通过调节弦的长度将琴音调准 在此过程中调音师改变了琴弦的,响度 音调 音色 振幅,21
2,6,下列示例中 不属于利用声能传递信息的是,用声呐探测海底深度用超声波清洗眼镜医生用听诊器为病人检查身体听到隆隆的雷声预示着可能要下雨,22
3,2,2017年4月 我国国产直升机ac311a成功试飞 直升机能停留在空中 是因为旋转的机翼对空气施加了向下的力 根据物体间力的作用是 空气对机翼也施加了向上的力 所以直升机能够停留在空中 另外 我国国产大飞机c919于5月也完成了首飞 客机在飞行时 机翼上表面空气流速大 压强 因此获得向上的升力,,18
4,3,为了研究弹簧受到拉力作用时 其伸长量与弹簧自身因素的关系 郑能同学选择了如下器材 弹簧测力计 弹簧a b c d 其中弹簧a c由同种金属丝绕制而成 弹簧b d由另一种金属丝绕制而成 a b原来的长度均为l <sub> 0 < sub> c d原来的长度均为l <sub> 0 < sub> ′ 且a b c d的横截面均相同 实验操作如下 他将弹簧a b c d的左端固定 并分别用水平向右的力通过测力计拉伸弹簧 它们的长度各自增加了△l <sub> 1 < sub> △l <sub> 2 < sub> △l <sub> 3 < sub> 和△l <sub> 4 < sub> 如图a b c d所示 请仔细观察实验现象 对a b实验作比较 再对c d作比较 可以得到在弹簧自身因素 相同的条件下 再使它们 相同 弹簧的伸长量与 有关,,11
5,6,两支用后没甩过的体温计 示数都是38℃ 用它们分别测量体温37 5℃和38 5℃的两个病人 这两支温度计的示数分别是,37 5℃和38 5℃ 37 5℃和38℃ 38℃和38℃ 38℃和38 5℃,1
6,3,正在流通的一元硬币是由什么金属制成的呢 为了解决这个疑惑 小明和小丽决定测量一元硬币材料的密度 小明的实验做法 如图甲所示 用刻度尺和三角板测出硬币的直径为 cm 再将10枚相同的一元硬币紧叠在一起用刻度尺测出总厚度 计算出硬币的总体积 然后 用天平测量这10枚硬币的总质量 平衡时右盘所加砝码及游码的位置如图乙所示 由测量可得10枚硬币的总质量为 g 最后根据密度公式ρ=m/v计算出硬币材料的密度 小明测得硬币的密度比真实值 选填 大 或 小 简述理由 小丽的设计方案 先用细线将1枚一元硬币系好 用图丙所示的弹簧测力计测出硬币的重力g <sub> 1 </sub> 然后 将弹簧测力计吊着的硬币浸没水中 读出这时测力计的示数为g <sub> 2 </sub> ①硬币的密度可表示为ρ= 已知水的密度为ρ <sub> 水 </sub> 用所测量的符号表示 ②小丽的设计方案 选填 能 或 不能 测出硬币的密度 你判断的理由是,,5
7,6,两次用不同大小的力分别拨动如图所示的锯条 它能用来研究乐音特征中的 img,响度 音色 音调 以上都可以,21
8,2,在 地面上的圆形光斑是什么 活动中 小柯看到树荫下的水平地面上有圆形的光斑 这圆形光斑是通过小孔成的像 为什么圆形光斑呈椭圆形 小柯思考后终于想通了 并推断这个像在台州的水平地面上不可能是正圆形 一年当中最接近正圆形的是在 填 夏至 或 冬至 日正午的时候,,23
9,2,声音在空气中的传播速度约为340m/s 若你呼喊与你相距640m远的某同学 约需 s他才能听到你的喊声 水下的海豚能听到驯兽员的哨声 花样游泳运动员在水下能听到音乐声 垂钓人的说话声会吓跑要上钩的鱼 说明,,20
10,6,把盛水的试管放在正在加热的沸水中如图 则试管里的水,能达到沸点 能沸腾 达不到沸点 不能沸腾能达到沸点 不能沸腾 无法确定,3
11,6,关于温度计下列说法不正确的是,常见的温度计都是用水银作测温物质体温计的测量范围是35℃～42℃普通温度计不能离开被测物体观察温度常用液体温度计是根据液体热胀冷缩的原理制成的,1
12,1,在图中 根据给出的反射光线ob 画出入射光线ao 并标出入射角的度数,,25
13,6,如图所示 在探究液体压强特点的过程中 将压强计的探头放在水中 下列做法能够使压强计u形管两边液面的高度差减小的是,将探头向下移动一段距离将探头向上移动一段距离将探头在原位置转动180°将探头放在同样深度的食盐水中,16
14,3,小明同学在 探究影响浮力大小的因素 的实验中 在弹簧测力计下悬挂一圆柱体 当圆柱体下表面与水面相平时开始缓慢下降 直到与烧杯底接触为止 溢出的水全部流入小桶中 如图甲所示 圆柱体浸没在水中后所受浮力f <sub> 浮 < sub> = n 比较b c两图可得 浸在同一种液体中的物体受到浮力的大小跟 有关 比较 两图可得 当圆柱体浸没在水中继续下沉的过程中 受到的浮力不变 为了验证阿基米德原理 还需要再完成的实验步骤是测量 比较对应时刻 浮力与圆柱体排开水的重力 的大小是否相等 完成如图甲所示的实验后 仅将水换成另一种液体重复上述实验 根据实验数据绘制出如图乙所示的弹簧测力计示数f与物体下降高度h的f-h图象 物体浸没在该种液体中受到的浮力f <sub> 浮 < sub> ′= n 实验表明 浸在液体里的物体受到的浮力大小还跟 有关 由图乙还可获得的信息 写出一条即可,,19
15,3,某同学在探究 物体的质量跟体积的关系 的实验中 下表是这位同学设计的记录实验数据的表格 将表格填写完整 不同物体 质量m/g 体积v/cm <sub> 3 </sub> ① 铁块1 79 10 7 9 铁块2 158 20 7 9 铁块3 237 30 7 9 铝块1 54 20 2 7 铝块2 108 40 2 7 铝块3 60 2 7 由实验可得的结论,,5
16,3,为了研究弹簧受到拉力作用时 其伸长量与弹簧自身因素的关系 郑能同学选择了如下器材 弹簧测力计 弹簧a b c d 其中弹簧a c由同种金属丝绕制而成 弹簧b d由另一种金属丝绕制而成 a b原来的长度均为l <sub> 0 < sub> c d原来的长度均为l <sub> 0 < sub> ′ 且a b c d的横截面均相同 实验操作如下 他将弹簧a b c d的左端固定 并分别用水平向右的力通过测力计拉伸弹簧 它们的长度各自增加了△l <sub> 1 < sub> △l <sub> 2 < sub> △l <sub> 3 < sub> 和△l <sub> 4 < sub> 如图a b c d所示 请仔细观察实验现象 对a b实验作比较 再对c d作比较 可以得到在弹簧自身因素 相同的条件下 再使它们 相同 弹簧的伸长量与 有关,,11
17,4,取一根吸管 在离吸管末端三分之一处 剪一水平切口p 从切口处折弯吸管 把吸管放进水里 让切口离水面约2-3cm 用力吹气 如图所示 发现切口处有水沿水平方向喷出 请你运用科学知识解释此现象形成的原因,,18
18,2,游泳运动员在平静的水面下看到游泳池边岸上的物体变 选填 高 或 矮 了 这是由于光从空气斜射入水中时 折射光线 选填 靠近 或 远离 法线偏折的原因,,25
19,6,在如图所示的滑轮组装置中 所挂重物的重力g=50 n 当施加在绳子自由端的拉力为f=30 n时 重物恰好匀速上升 绳重及一切摩擦均可忽 不计 由此可知,该装置的机械效率为60% 该装置的机械效率为55 6%该装置中动滑轮重为5n 该装置中动滑轮重为10n,29
20,6,如图所示的简单机械 忽 各种摩擦及杠杆和滑轮的重力 当提起相同重物时 最省力的是,,15
21,3,小张的妈妈在大渡口区某商场金店购买了一款金饰品 买回家后 感觉拿在手里较轻 看外观做工精致 成色很好 于是想是不是内部掺了假 可没有缝隙看不到内部结构 刚学完密度知识的小张准备测量它的密度 于是找来同学小华一起借助实验室的器材按下面的步骤进行实验 已知ρ <sub> 金 </sub> =19 3g/cm <sub> 3 </sub> 把托盘天平放在水平桌面上 发现分度盘指针如图甲所示 他应将右端的平衡螺母向 调 选填 左 或 右 使横梁在水平位置平衡 将金饰品放在左盘中 右盘增减砝码 准备移动游码时小华才发现游码没在零刻度处 如图甲 而是刚好距零刻度线一小格的位置处 小张认识到了错误的操作 两人讨论后 认为不必重新调平衡也可测出正确的质量 于是将游码直接移动 当天平再次平衡时 所用砝码和游码位置如图乙所示 则金饰品的质量应为 g 如图丙所示 用细线拴好金饰品轻放入量筒中 然后往量筒中倒入适量的水后再取出饰品 则金饰品的体积为 cm <sub> 3 </sub> 则金饰品的密度为 g/cm <sub> 3 </sub> 适量的水 的含义是 小张用这种方法测出的密度与它的真实值相比 是偏大还是偏小 若不考虑步骤e的因素 小张根据测出的密度与金的密度不等而得出金饰品不是纯金做的结论 此结论 选填 可靠 与 不可靠 理由是,,5
22,2,小刚坐在向东行驶的汽车里 若以路边的树木为参照物 小刚是 的 若以驾驶员为参照物 小刚是 的,,6
23,6,下列有关误差的说法中 正确的是,误差就是错误多次测量求平均值可以消除误差选用精密的仪器可以避免误差只用测量就不可避免的出现误差,7
24,5,一辆在水平路面上沿直线匀速行驶的货车 行驶时所受的阻力为车总重的0 1倍 货车 含驾驶员 空载时重为2 5*10 <sub> 4 < sub> n 求货车空载行驶时所受的阻力大小 求货车以36km h的速度空载匀速行驶时 10s内货车牵引力做的功 当货车以90kw的额定功率 90km h的速度匀速行驶时 求货车最多可装载多重的货物,,29
25,2,甲在一根足够长的自来水管的一端用力敲一下 乙在另一端听到三次敲击声 第一次听到的声音是 传播来的 第三次听到的声音是 传播来的,,20
26,6,如图所示 小鸟静止在树枝上 则,小鸟受到的重力与树枝受到的重力是一对平衡力 小鸟受到的重力与小鸟对树枝的压力是一对平衡力 小鸟受到的重力与树枝对小鸟的支持力是一对平衡力 小鸟对树枝的压力与树枝对小鸟的支持力是一对平衡力,10
27,2,取一个瓶子 装上适量带色的水 取一根两端开口 有刻度的细玻璃管 使玻璃管穿过橡皮塞插入水中 密闭瓶口 从管子上端吹入少量气体 水将沿玻璃管上升到瓶口以上 如图所示 这是由于瓶内气体压强 选填 大于 等于 或 小于 大气压强 拿着这个瓶子从楼底到楼顶 不用手直接拿瓶子 玻璃管内水柱高度将 选填 升高 不变 或 降低,,17
28,6,某同学在记录测量结果时忘记写单位 试判断下列哪个数据的单位是 厘米,一支铅笔的直径是7 1 茶杯的高度是11 2物理书的长度是2 52 他自己的身高是16 75,7
29,2,一支刻度均匀 但示数不准的温度计 用它来测1个标准大气压下水的沸点温度 它的示数是110℃ 放在冰水混合液中时 它的示数为-2℃ 若用这支温度计测教室里的温度 示数为26℃ 则教室里的实际温度是 ℃ 当温度计示数为 ℃时 它指示的就是实际温度,,1
30,6,王飞同学加热某固体物质使其熔化 下表记录了加热过程中温度随时间变化的情况 下列说法正确的是,该物质是一种非晶体 该物质从开始熔化到完全熔化大约持续4min 该物质的熔点是80℃ 该物质加热到 钟时是液态,2
31,5,图甲所示是工人利用滑轮组从竖直深井中提取泥土的情形 所用动滑轮和筐受到的总重力为20n 某次操作中 将重423n的泥土以0 4m s的速度匀速提起 在此过程中工人的拉力f所做的功随时间变化的图象如图乙所示 细绳的质量忽 不计 g取10n kg 求 拉力f做功的功率 利用该装置提升泥土的机械效率 在提起泥土上升3m的过程中 拉力f克服摩擦力做的功,,29
32,6,如图所示 一条形磁铁静止在水平地面上 铁球静止在水平放置的磁铁的上方 下列 正确的是,铁球受到的重力与磁铁对铁球的支持力是一对平衡力铁球受到的重力与磁铁对铁球的支持力是一对相互作用力磁铁受到的重力与地面对磁铁的支持力是一对平衡力磁铁和铁球受到的重力与地面对磁铁的支持力是一对平衡力,10
33,6,影响声音音调的因素是声源的,频率 材料 振幅 结构,21
34,3,小荣探究 重力的大小跟质量的关系 按照图甲所示 把钩码逐个挂在弹簧测力计上 分别测出它们受到的重力 并记录在下面的表格中 质量m g 100 200 300 500 重力g n 1 2 3 4 5 把表格中的空格填写完整 根据表格中的实验数据 在图乙中画出重力与质量的关系图象 在图中画出钩码静止时受到的力的示意图 由图象可得结论,,12
35,6,甲 乙两个实心正方体放在细沙面上 沙面凹陷程度如图所示 则,甲的质量一定比乙大 甲的质量一定比乙小 甲的密度一定比乙大 甲的密度一定比乙小,16
36,3,小王做了如图所示两个实验 如甲图 将一个乒乓球对着漏斗的细管处 对准漏斗细管口用力向下吹气 乒乓球紧贴在漏斗上 乙图中 将一纸条放在嘴边 用力从纸条上方吹气 纸条就飘起来 以上两个实验表明气体流动时 流速大的地方压强 流速小的地方压强 填 大 或 小,,18
